length_title, length_content,images,videos, keywords,onWeekend,Relevancy,positive_words,negative_words, title_subjectivity, title_sentiments,wasShared
12,219,1,0,5,No,0.500331204,0.769230769,0.230769231,0.5,-0.1875,NO
9,255,1,0,4,No,0.799755687,0.733333333,0.266666667,0,0,NO
9,211,1,0,6,No,0.217792289,0.857142857,0.142857143,0,0,Yes
9,531,1,0,7,No,0.028573216,0.666666667,0.333333333,0,0,Yes
13,1072,20,0,7,No,0.02863281,0.860215054,0.139784946,0.454545455,0.136363636,NO
10,370,0,0,9,No,0.022245276,0.523809524,0.476190476,0.642857143,0.214285714,NO
8,960,20,0,10,No,0.020081666,0.827956989,0.172043011,0,0,NO
12,989,20,0,9,No,0.022224357,0.846938776,0.153061224,1,0.5,NO
11,97,0,0,7,No,0.458250415,0.6,0.4,0.125,0,Yes
10,231,1,1,5,No,0.040000096,0.5625,0.4375,0,0,NO
9,1248,1,0,8,No,0.025003564,0.648648649,0.351351351,0,0,Yes
10,187,1,0,7,No,0.02862788,0.714285714,0.285714286,0,0,Yes
9,274,11,0,8,No,0.150492535,0.636363636,0.363636364,1,-1,NO
9,285,0,21,6,No,0.03338623,0.347826087,0.652173913,1,-1,Yes
8,259,9,0,7,No,0.028780067,0.571428571,0.428571429,0.75,0.55,NO
12,682,1,0,6,No,0.033333876,0.557377049,0.442622951,0.75,-0.25,Yes
8,1118,12,1,5,No,0.040080506,0.613333333,0.386666667,0.566666667,-0.1,Yes
8,397,1,0,6,No,0.866666195,0.866666667,0.133333333,0,0,Yes
11,103,1,0,6,No,0.437373579,0.75,0.25,0.857142857,-0.714285714,Yes
8,1207,42,0,8,No,0.025000582,0.857142857,0.142857143,0.5,0,Yes
13,1248,20,0,10,No,0.020068747,0.858585859,0.141414141,0,0,Yes
9,391,1,1,7,No,0.028774389,0.777777778,0.222222222,0,0,NO
11,1154,20,0,7,No,0.311931164,0.819047619,0.180952381,0,0,NO
11,125,1,0,6,No,0.033333533,1,0,0.45,0.4,Yes
13,244,1,0,4,No,0.300293733,0.4,0.6,0.7,-0.4,NO
8,266,1,0,10,No,0.020006297,0.5,0.5,0.9,0.4,NO
8,331,1,0,9,No,0.022243456,0.869565217,0.130434783,0,0,Yes
12,1225,28,0,9,No,0.022274944,0.797979798,0.202020202,0.5,0.5,Yes
10,243,0,0,10,No,0.020040899,0.705882353,0.294117647,0,0,NO
11,723,1,0,6,No,0.866656685,0.884615385,0.115384615,0.5,0.5,NO
8,708,1,1,7,No,0.744048577,0.78,0.22,0,0,Yes
10,633,19,0,7,No,0.028645181,0.829268293,0.170731707,0,0,Yes
14,290,14,0,9,No,0.022244801,0.857142857,0.142857143,0,0,NO
10,597,1,0,6,No,0.033338584,0.896551724,0.103448276,1,1,NO
8,204,1,0,8,No,0.211469546,0.9375,0.0625,0,0,Yes
11,315,1,0,10,No,0.020087068,0.733333333,0.266666667,0.55,0.35,NO
10,1244,20,0,10,No,0.020007914,0.815533981,0.184466019,1,-0.6,Yes
8,257,0,1,9,No,0.439230426,0.533333333,0.466666667,0.666666667,-0.5,Yes
11,799,1,0,6,No,0.033335242,0.652173913,0.347826087,0,0,NO
14,194,0,1,6,No,0.033402117,1,0,0.4,0.1,Yes
10,1036,20,0,9,No,0.022222534,0.852631579,0.147368421,0,0,Yes
6,174,1,0,8,No,0.025000339,1,0,0,0,NO
14,1237,42,0,7,No,0.028571954,0.849462366,0.150537634,0,0,Yes
10,1081,20,0,10,No,0.020000726,0.81,0.19,0.7,-0.05,Yes
9,1022,20,0,8,No,0.025000967,0.868131868,0.131868132,0,0,Yes
10,142,1,0,5,No,0.440711326,0.75,0.25,0,0,NO
10,1190,20,0,8,No,0.025049714,0.808510638,0.191489362,0,0,NO
12,161,0,6,10,No,0.125774614,0.727272727,0.272727273,0.583333333,0.25,Yes
11,1108,20,0,9,No,0.022488465,0.845360825,0.154639175,0,0,NO
11,1089,20,0,8,No,0.02504673,0.849462366,0.150537634,0,0,Yes
11,214,0,1,10,No,0.159890041,0.666666667,0.333333333,0.85,-0.4,Yes
9,944,20,0,8,No,0.025000899,0.821052632,0.178947368,0.642857143,0.214285714,NO
9,1030,20,0,9,No,0.022222915,0.81443299,0.18556701,0,0,NO
11,454,1,0,6,No,0.200337032,0.769230769,0.230769231,0.427272727,0.168181818,Yes
9,1115,20,0,8,No,0.02500086,0.842105263,0.157894737,0.333333333,0.25,Yes
10,555,1,0,10,No,0.020010737,0.75862069,0.24137931,0.5,-0.1,Yes
9,474,1,0,7,No,0.028575289,0.714285714,0.285714286,0.65,-0.5,Yes
8,130,0,0,9,No,0.022265133,0.833333333,0.166666667,0.25,0.2,Yes
12,444,23,0,10,No,0.172244866,1,0,0.454545455,0.136363636,NO
9,280,10,1,6,No,0.033333623,0.823529412,0.176470588,0.5,0.136363636,NO
13,1024,19,0,10,No,0.02001597,0.848484848,0.151515152,0,0,NO
12,238,1,0,9,No,0.022222472,1,0,0,0,NO
9,1070,20,0,7,No,0.028577258,0.861702128,0.138297872,0.333333333,0.25,NO
12,463,4,0,9,No,0.02223351,0.783783784,0.216216216,0.066666667,0.033333333,NO
11,1005,20,0,9,No,0.022223301,0.835164835,0.164835165,0,0,NO
8,403,1,0,8,No,0.025005366,0.555555556,0.444444444,0.75,-0.125,Yes
7,251,1,1,9,No,0.022422714,0.318181818,0.681818182,0.375,-0.0625,NO
11,317,1,0,5,No,0.040000525,0.666666667,0.333333333,0.483333333,0.416666667,Yes
12,177,1,0,9,No,0.023994561,0.857142857,0.142857143,0.5,0.5,Yes
6,109,1,0,6,No,0.203151332,0.833333333,0.166666667,0,0,NO
11,399,1,0,7,No,0.028574431,0.653846154,0.346153846,0,0,Yes
13,460,1,0,10,No,0.020034905,0.80952381,0.19047619,0,0,Yes
9,443,1,0,6,No,0.033338179,0.62962963,0.37037037,0,0,NO
8,218,11,0,10,No,0.199267879,0.75,0.25,0.5,0.5,NO
12,988,20,0,8,No,0.02500065,0.850574713,0.149425287,0.454545455,0.136363636,Yes
6,374,1,0,8,No,0.206645981,0.666666667,0.333333333,0,0,NO
5,356,12,1,10,No,0.45649731,0.814814815,0.185185185,0.454545455,0.136363636,NO
9,1226,1,1,7,No,0.02984545,0.666666667,0.333333333,0,0,Yes
10,1121,1,0,6,No,0.035536467,0.807692308,0.192307692,0,0,NO
12,288,0,0,6,No,0.033832148,0.8,0.2,0,0,NO
10,414,1,0,6,No,0.033333839,0.428571429,0.571428571,0.3,0.2,NO
11,134,9,0,10,No,0.02016385,0.75,0.25,0,0,Yes
11,281,1,0,4,No,0.050004724,0.684210526,0.315789474,0,0,Yes
12,499,1,0,10,No,0.02024897,0.736842105,0.263157895,0.3,0,Yes
9,268,9,0,10,No,0.020195715,0.777777778,0.222222222,0,0,Yes
7,925,20,0,8,No,0.025000163,0.808988764,0.191011236,0,0,Yes
10,261,16,0,7,No,0.180488872,0.6,0.4,0.1,-0.1,Yes
13,306,1,0,10,No,0.326236722,1,0,0.666666667,0.333333333,Yes
10,909,1,1,5,No,0.040000156,0.746835443,0.253164557,0.4,0.1,Yes
12,999,20,0,7,No,0.028944227,0.87628866,0.12371134,0.8,0.4,Yes
12,1011,20,0,7,No,0.028651326,0.865168539,0.134831461,0.3,0.1,NO
10,413,13,0,6,No,0.033381668,0.772727273,0.227272727,0.066666667,0.033333333,NO
9,180,0,0,7,No,0.177198352,0.6,0.4,0,0,Yes
9,759,1,0,6,No,0.866360651,0.815789474,0.184210526,0,0,NO
13,1226,1,0,8,No,0.025031059,0.731182796,0.268817204,0,0,Yes
6,241,1,0,5,No,0.040019141,0.727272727,0.272727273,0,0,Yes
9,168,11,0,9,No,0.023085478,0.6,0.4,1,-1,Yes
10,1121,19,0,8,No,0.025026921,0.76635514,0.23364486,0.2,-0.1,NO
7,1174,1,0,8,No,0.148105207,0.576923077,0.423076923,0,0,NO
7,376,0,11,9,No,0.02227281,0.9,0.1,0.1,0,Yes
9,142,0,1,6,No,0.03338682,0.6,0.4,0.54375,-0.25625,Yes
9,825,19,0,10,No,0.020054856,0.837209302,0.162790698,0.5,0.25,NO
9,883,19,0,8,No,0.025106789,0.848837209,0.151162791,0,0,NO
6,1125,19,0,10,No,0.020089558,0.808988764,0.191011236,0,0,NO
10,498,1,0,6,No,0.033385993,0.705882353,0.294117647,0,0,NO
12,540,10,0,10,No,0.020001341,0.55,0.45,0,0,Yes
12,855,1,0,8,No,0.025007342,0.8125,0.1875,0.1,0.2,NO
11,223,0,0,6,No,0.033492505,0.733333333,0.266666667,0,0,Yes
11,349,1,0,5,No,0.040002813,0.933333333,0.066666667,0,0,Yes
7,1007,20,0,10,No,0.020225791,0.808510638,0.191489362,0,0,Yes
13,464,8,1,6,No,0.033333895,0.866666667,0.133333333,0,0,Yes
9,233,1,0,4,No,0.561963307,0.7,0.3,0,0,Yes
9,167,0,1,6,No,0.033402635,0.75,0.25,0.95,0.65,Yes
11,825,10,1,8,No,0.154913687,0.711111111,0.288888889,1,0.5,Yes
11,1099,20,0,10,No,0.020032136,0.815217391,0.184782609,0.3125,0.2375,Yes
7,263,0,0,10,No,0.0200199,0.541666667,0.458333333,0,0,NO
10,468,1,0,5,No,0.839957944,0.708333333,0.291666667,0.333333333,0.25,Yes
7,346,11,0,6,No,0.033431483,0.695652174,0.304347826,0.454545455,0.136363636,Yes
